id;id_set;clauses;entailments;is_entail;is_contradict;k_sat;n_var;num_clauses
56;3;[[-3, 4], [1, 2, -4]];[-1, -2];0;1;3;5;2
57;3;[[-3, 4], [1, 2, -4]];[-4, -5, 2];0;1;3;5;2
58;3;[[-3, 4], [1, 2, -4]];[1, -5];0;0;3;5;2
59;3;[[-3, 4], [1, 2, -4]];[1, 4];0;1;3;5;2
60;3;[[-3, 4], [1, 2, -4]];[1, -3, -5];1;0;3;5;2
61;4;[[4], [3], [-2, -3]];[-1, 4];1;0;3;5;3
62;4;[[4], [3], [-2, -3]];[3, -2];1;0;3;5;3
63;4;[[4], [3], [-2, -3]];[3, -1];1;0;3;5;3
64;4;[[4], [3], [-2, -3]];[4, 1, 3];1;0;3;5;3
65;4;[[4], [3], [-2, -3]];[-4, -1];0;0;3;5;3
66;4;[[4], [3], [-2, -3]];[-3, 4];1;0;3;5;3
67;4;[[4], [3], [-2, -3]];[2, -5];0;0;3;5;3
68;4;[[4], [3], [-2, -3]];[-1, -3, -5];0;0;3;5;3
69;4;[[4], [3], [-2, -3]];[4, -3];1;0;3;5;3
70;4;[[4], [3], [-2, -3]];[-2, 1, -4];1;0;3;5;3
71;4;[[4], [3], [-2, -3]];[-1, 2, 4];1;0;3;5;3
72;4;[[4], [3], [-2, -3]];[-2, 3, -5];1;0;3;5;3
73;4;[[4], [3], [-2, -3]];[3, 2, 1];1;0;3;5;3
74;4;[[4], [3], [-2, -3]];[-1, -3];0;0;3;5;3
75;4;[[4], [3], [-2, -3]];[3, 2, -5];1;0;3;5;3
76;4;[[4], [3], [-2, -3]];[-1, 2];0;0;3;5;3
77;4;[[4], [3], [-2, -3]];[-3, -1, -5];0;0;3;5;3
78;4;[[4], [3], [-2, -3]];[-3, -2];1;0;3;5;3
79;4;[[4], [3], [-2, -3]];[-4, -2, 1];1;0;3;5;3
80;4;[[4], [3], [-2, -3]];[-5, -1, 2];0;0;3;5;3
81;5;[[3, -1, 2], [-4], [3]];[-2, 3, 1];1;0;3;5;3
82;5;[[3, -1, 2], [-4], [3]];[-5, 3, -2];1;0;3;5;3
83;5;[[3, -1, 2], [-4], [3]];[-5, -1];0;0;3;5;3
84;5;[[3, -1, 2], [-4], [3]];[-2, -1];0;0;3;5;3
85;5;[[3, -1, 2], [-4], [3]];[4, -3];0;0;3;5;3
86;5;[[3, -1, 2], [-4], [3]];[4, 1, 3];1;0;3;5;3
87;5;[[3, -1, 2], [-4], [3]];[-3, -1];0;0;3;5;3
88;5;[[3, -1, 2], [-4], [3]];[-2, -3];0;0;3;5;3
89;5;[[3, -1, 2], [-4], [3]];[-2, 1];0;1;3;5;3
90;5;[[3, -1, 2], [-4], [3]];[3, -1];1;0;3;5;3
91;5;[[3, -1, 2], [-4], [3]];[-2, -1, -5];0;0;3;5;3
92;5;[[3, -1, 2], [-4], [3]];[3, -2];1;0;3;5;3
93;5;[[3, -1, 2], [-4], [3]];[4, -5];0;0;3;5;3
94;5;[[3, -1, 2], [-4], [3]];[-5, -4, -3];1;0;3;5;3
95;5;[[3, -1, 2], [-4], [3]];[-3, 2, -4];1;0;3;5;3
96;5;[[3, -1, 2], [-4], [3]];[-1, -2];0;0;3;5;3
97;5;[[3, -1, 2], [-4], [3]];[-1, -3];0;0;3;5;3
98;5;[[3, -1, 2], [-4], [3]];[4, 2];0;1;3;5;3
99;5;[[3, -1, 2], [-4], [3]];[2, -4, -1];1;0;3;5;3
100;5;[[3, -1, 2], [-4], [3]];[-4, 3, 2];1;0;3;5;3
101;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[2, -1];0;0;3;5;3
102;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-3, 4, 1];1;0;3;5;3
103;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-2, -3];1;0;3;5;3
104;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-5, -3, 4];1;0;3;5;3
105;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[3, -2, 1];1;0;3;5;3
106;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[3, -1, -5];0;0;3;5;3
107;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-1, 2];0;0;3;5;3
108;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-4, -5, 3];0;0;3;5;3
109;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-3, -5];1;0;3;5;3
110;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[3, 1];0;1;3;5;3
111;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-2, 3, -5];1;0;3;5;3
112;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[4, 1, -2];1;0;3;5;3
113;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[1, -5];0;1;3;5;3
114;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[3, 4];0;1;3;5;3
115;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-1, -4];0;0;3;5;3
116;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-4, 2];0;0;3;5;3
117;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-4, 1];0;1;3;5;3
118;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-4, 3, -2];1;0;3;5;3
119;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-5, -3];1;0;3;5;3
120;6;[[4, -2, 3], [2, -1, -3], [4, -5]];[-4, 2, -1];0;0;3;5;3
121;7;[[2], [4, -5], [-4]];[3, -4, 1];1;0;3;5;3
122;7;[[2], [4, -5], [-4]];[-5, 3];1;0;3;5;3
123;7;[[2], [4, -5], [-4]];[-2, 4];0;0;3;5;3
124;7;[[2], [4, -5], [-4]];[1, -4];1;0;3;5;3
125;7;[[2], [4, -5], [-4]];[-1, -4, -5];1;0;3;5;3
126;7;[[2], [4, -5], [-4]];[4, -5, 3];1;0;3;5;3
127;7;[[2], [4, -5], [-4]];[-1, -5, -3];1;0;3;5;3
128;7;[[2], [4, -5], [-4]];[-3, -5];1;0;3;5;3
129;7;[[2], [4, -5], [-4]];[-4, 1];1;0;3;5;3
130;7;[[2], [4, -5], [-4]];[-4, 2, 3];1;0;3;5;3
131;7;[[2], [4, -5], [-4]];[3, 4, -1];0;0;3;5;3
132;7;[[2], [4, -5], [-4]];[-2, -4];1;0;3;5;3
133;7;[[2], [4, -5], [-4]];[-4, -5, 2];1;0;3;5;3
134;7;[[2], [4, -5], [-4]];[1, 2];1;0;3;5;3
135;7;[[2], [4, -5], [-4]];[-5, 3, 4];1;0;3;5;3
136;7;[[2], [4, -5], [-4]];[-3, 4, -1];0;1;3;5;3
137;7;[[2], [4, -5], [-4]];[1, -4, 2];1;0;3;5;3
138;7;[[2], [4, -5], [-4]];[-5, -3, 4];1;0;3;5;3
139;7;[[2], [4, -5], [-4]];[-2, 1, 3];0;1;3;5;3
140;7;[[2], [4, -5], [-4]];[1, -4, -5];1;0;3;5;3
141;8;[[4, -2, 3], [4], [-5, 4, 3]];[4, -5];1;0;3;5;3
142;8;[[4, -2, 3], [4], [-5, 4, 3]];[3, -5];0;0;3;5;3
143;8;[[4, -2, 3], [4], [-5, 4, 3]];[-3, -5, 1];0;1;3;5;3
144;8;[[4, -2, 3], [4], [-5, 4, 3]];[-2, 3];0;0;3;5;3
145;8;[[4, -2, 3], [4], [-5, 4, 3]];[3, -1];0;0;3;5;3
146;8;[[4, -2, 3], [4], [-5, 4, 3]];[-1, -5, -3];0;1;3;5;3
147;8;[[4, -2, 3], [4], [-5, 4, 3]];[-3, -1, -2];0;1;3;5;3
148;8;[[4, -2, 3], [4], [-5, 4, 3]];[-1, -4];0;0;3;5;3
149;8;[[4, -2, 3], [4], [-5, 4, 3]];[-2, -4, -5];0;0;3;5;3
150;8;[[4, -2, 3], [4], [-5, 4, 3]];[-2, 1];0;1;3;5;3
151;8;[[4, -2, 3], [4], [-5, 4, 3]];[4, -1];1;0;3;5;3
152;8;[[4, -2, 3], [4], [-5, 4, 3]];[-2, -5];0;0;3;5;3
153;8;[[4, -2, 3], [4], [-5, 4, 3]];[-1, -2, 4];1;0;3;5;3
154;8;[[4, -2, 3], [4], [-5, 4, 3]];[3, -4];0;0;3;5;3
155;8;[[4, -2, 3], [4], [-5, 4, 3]];[3, 4];1;0;3;5;3
156;8;[[4, -2, 3], [4], [-5, 4, 3]];[2, -1];0;1;3;5;3
157;8;[[4, -2, 3], [4], [-5, 4, 3]];[4, -1, 3];1;0;3;5;3
158;8;[[4, -2, 3], [4], [-5, 4, 3]];[2, -3, -4];0;1;3;5;3
159;8;[[4, -2, 3], [4], [-5, 4, 3]];[2, 3, -1];0;1;3;5;3
160;8;[[4, -2, 3], [4], [-5, 4, 3]];[2, -3, 4];1;0;3;5;3
161;9;[[2, 3], [1, -5]];[-4, 3];0;0;3;5;2
162;9;[[2, 3], [1, -5]];[2, 4];1;0;3;5;2
163;9;[[2, 3], [1, -5]];[2, 3];1;0;3;5;2
164;9;[[2, 3], [1, -5]];[-5, 3, -4];1;0;3;5;2
165;9;[[2, 3], [1, -5]];[-1, -2, -3];0;1;3;5;2
166;9;[[2, 3], [1, -5]];[-5, 2, 1];1;0;3;5;2
167;9;[[2, 3], [1, -5]];[-3, -4, 1];0;1;3;5;2
168;9;[[2, 3], [1, -5]];[1, 2, -3];1;0;3;5;2
169;9;[[2, 3], [1, -5]];[-5, 1, -2];1;0;3;5;2
170;9;[[2, 3], [1, -5]];[-2, 3];0;0;3;5;2
171;9;[[2, 3], [1, -5]];[-3, 4, 2];1;0;3;5;2
172;9;[[2, 3], [1, -5]];[-4, -2];0;0;3;5;2
173;9;[[2, 3], [1, -5]];[3, -5, 2];1;0;3;5;2
174;9;[[2, 3], [1, -5]];[3, 1];0;1;3;5;2
175;9;[[2, 3], [1, -5]];[-2, -4];0;0;3;5;2
176;9;[[2, 3], [1, -5]];[-1, 4, -5];1;0;3;5;2
177;9;[[2, 3], [1, -5]];[4, -1];0;1;3;5;2
178;9;[[2, 3], [1, -5]];[-1, -3];0;1;3;5;2
179;9;[[2, 3], [1, -5]];[1, 3, -5];1;0;3;5;2
180;9;[[2, 3], [1, -5]];[-3, -5];1;0;3;5;2
181;10;[[-4], [-1, -3]];[-5, -1];0;0;3;5;2
182;10;[[-4], [-1, -3]];[4, 1, 2];0;1;3;5;2
183;10;[[-4], [-1, -3]];[-1, 2, 4];0;0;3;5;2
184;10;[[-4], [-1, -3]];[3, -2, -5];0;1;3;5;2
185;10;[[-4], [-1, -3]];[1, -5];0;1;3;5;2
186;10;[[-4], [-1, -3]];[4, 3, 2];0;0;3;5;2
187;10;[[-4], [-1, -3]];[-3, 4, 1];1;0;3;5;2
188;10;[[-4], [-1, -3]];[2, 1];0;1;3;5;2
189;10;[[-4], [-1, -3]];[3, -4, -2];1;0;3;5;2
190;10;[[-4], [-1, -3]];[4, -1, 2];0;0;3;5;2
191;10;[[-4], [-1, -3]];[1, 2];0;1;3;5;2
192;10;[[-4], [-1, -3]];[-1, -2, -3];1;0;3;5;2
193;10;[[-4], [-1, -3]];[2, -3];1;0;3;5;2
194;10;[[-4], [-1, -3]];[3, -1];0;0;3;5;2
195;10;[[-4], [-1, -3]];[2, -5];0;0;3;5;2
196;10;[[-4], [-1, -3]];[4, -3];1;0;3;5;2
197;10;[[-4], [-1, -3]];[-3, -5];1;0;3;5;2
198;10;[[-4], [-1, -3]];[-4, -1];1;0;3;5;2
199;10;[[-4], [-1, -3]];[-2, -5, 3];0;1;3;5;2
200;10;[[-4], [-1, -3]];[-2, 4];0;1;3;5;2
201;11;[[4, 1], [3, 1, -4], [4]];[2, -4];0;0;3;5;3
202;11;[[4, 1], [3, 1, -4], [4]];[2, 3, -1];1;0;3;5;3
203;11;[[4, 1], [3, 1, -4], [4]];[3, -1, -5];1;0;3;5;3
204;11;[[4, 1], [3, 1, -4], [4]];[-4, -1];0;0;3;5;3
205;11;[[4, 1], [3, 1, -4], [4]];[1, -4];0;1;3;5;3
206;11;[[4, 1], [3, 1, -4], [4]];[2, 1, -3];0;1;3;5;3
207;11;[[4, 1], [3, 1, -4], [4]];[-1, -2, 4];1;0;3;5;3
208;11;[[4, 1], [3, 1, -4], [4]];[1, -5, 4];1;0;3;5;3
209;11;[[4, 1], [3, 1, -4], [4]];[-1, 3];1;0;3;5;3
210;11;[[4, 1], [3, 1, -4], [4]];[-4, 2, -1];0;0;3;5;3
211;11;[[4, 1], [3, 1, -4], [4]];[-4, 2, 1];0;1;3;5;3
212;11;[[4, 1], [3, 1, -4], [4]];[4, 2];1;0;3;5;3
213;11;[[4, 1], [3, 1, -4], [4]];[1, 2];0;1;3;5;3
214;11;[[4, 1], [3, 1, -4], [4]];[4, -3];1;0;3;5;3
215;11;[[4, 1], [3, 1, -4], [4]];[1, -5];0;1;3;5;3
216;11;[[4, 1], [3, 1, -4], [4]];[-3, -5];0;0;3;5;3
217;11;[[4, 1], [3, 1, -4], [4]];[1, -3, -2];0;1;3;5;3
218;11;[[4, 1], [3, 1, -4], [4]];[-3, 4];1;0;3;5;3
219;11;[[4, 1], [3, 1, -4], [4]];[3, 1];1;0;3;5;3
220;11;[[4, 1], [3, 1, -4], [4]];[3, 4];1;0;3;5;3
221;12;[[-2, -5, 3], [3, 4]];[3, -1];1;0;3;5;2
222;12;[[-2, -5, 3], [3, 4]];[-5, -2, 3];1;0;3;5;2
223;12;[[-2, -5, 3], [3, 4]];[-5, -2, -1];0;0;3;5;2
224;12;[[-2, -5, 3], [3, 4]];[4, -5, -3];0;0;3;5;2
225;12;[[-2, -5, 3], [3, 4]];[3, -5, -1];1;0;3;5;2
226;12;[[-2, -5, 3], [3, 4]];[3, -5, -2];1;0;3;5;2
227;12;[[-2, -5, 3], [3, 4]];[-3, 2, -1];0;1;3;5;2
228;12;[[-2, -5, 3], [3, 4]];[-2, -3, 1];0;1;3;5;2
229;12;[[-2, -5, 3], [3, 4]];[-5, -4, 2];0;1;3;5;2
230;12;[[-2, -5, 3], [3, 4]];[3, -2, -5];1;0;3;5;2
231;12;[[-2, -5, 3], [3, 4]];[1, -3];0;1;3;5;2
232;12;[[-2, -5, 3], [3, 4]];[-5, 2];0;1;3;5;2
233;12;[[-2, -5, 3], [3, 4]];[4, -5];0;0;3;5;2
234;12;[[-2, -5, 3], [3, 4]];[3, -2, 4];1;0;3;5;2
235;12;[[-2, -5, 3], [3, 4]];[2, -1];0;1;3;5;2
236;12;[[-2, -5, 3], [3, 4]];[-1, 2, -3];0;1;3;5;2
237;12;[[-2, -5, 3], [3, 4]];[4, 2, -3];0;1;3;5;2
238;12;[[-2, -5, 3], [3, 4]];[-1, 2, 3];1;0;3;5;2
239;12;[[-2, -5, 3], [3, 4]];[-1, 4, -3];0;0;3;5;2
240;12;[[-2, -5, 3], [3, 4]];[-3, 2, 1];0;1;3;5;2
241;13;[[4], [3, 4]];[1, 2, 4];1;0;3;5;2
242;13;[[4], [3, 4]];[-3, -1];0;0;3;5;2
243;13;[[4], [3, 4]];[4, -5];1;0;3;5;2
244;13;[[4], [3, 4]];[-5, -3];0;0;3;5;2
245;13;[[4], [3, 4]];[3, -5, 2];0;1;3;5;2
246;13;[[4], [3, 4]];[-5, 1, -2];0;1;3;5;2
247;13;[[4], [3, 4]];[1, -5, -2];0;1;3;5;2
248;13;[[4], [3, 4]];[-1, -2, 4];1;0;3;5;2
249;13;[[4], [3, 4]];[2, 1, -3];0;1;3;5;2
250;13;[[4], [3, 4]];[-1, -2, -3];0;1;3;5;2
251;13;[[4], [3, 4]];[4, -2, -5];1;0;3;5;2
252;13;[[4], [3, 4]];[2, 3, -1];0;1;3;5;2
253;13;[[4], [3, 4]];[-2, 1, -5];0;1;3;5;2
254;13;[[4], [3, 4]];[1, -2, 3];0;1;3;5;2
255;13;[[4], [3, 4]];[1, 3, -4];0;1;3;5;2
256;13;[[4], [3, 4]];[4, -1, -2];1;0;3;5;2
257;13;[[4], [3, 4]];[-5, -4];0;0;3;5;2
258;13;[[4], [3, 4]];[4, -3];1;0;3;5;2
259;13;[[4], [3, 4]];[2, 1, 3];0;1;3;5;2
260;13;[[4], [3, 4]];[4, -5, -1];1;0;3;5;2
261;14;[[-5], [-4, -1, 3], [-2]];[-3, 1];0;0;3;5;3
262;14;[[-5], [-4, -1, 3], [-2]];[-2, -3];1;0;3;5;3
263;14;[[-5], [-4, -1, 3], [-2]];[3, -4];0;1;3;5;3
264;14;[[-5], [-4, -1, 3], [-2]];[4, -1];0;1;3;5;3
265;14;[[-5], [-4, -1, 3], [-2]];[-5, 1, 3];1;0;3;5;3
266;14;[[-5], [-4, -1, 3], [-2]];[-2, 1];1;0;3;5;3
267;14;[[-5], [-4, -1, 3], [-2]];[-3, 4];0;0;3;5;3
268;14;[[-5], [-4, -1, 3], [-2]];[2, 3, 1];0;1;3;5;3
269;14;[[-5], [-4, -1, 3], [-2]];[3, 1, -4];0;1;3;5;3
270;14;[[-5], [-4, -1, 3], [-2]];[-2, -4];1;0;3;5;3
271;14;[[-5], [-4, -1, 3], [-2]];[2, -3];0;0;3;5;3
272;14;[[-5], [-4, -1, 3], [-2]];[4, -3, -2];1;0;3;5;3
273;14;[[-5], [-4, -1, 3], [-2]];[-4, 2, 3];0;1;3;5;3
274;14;[[-5], [-4, -1, 3], [-2]];[-5, 4, 3];1;0;3;5;3
275;14;[[-5], [-4, -1, 3], [-2]];[-4, 3];0;1;3;5;3
276;14;[[-5], [-4, -1, 3], [-2]];[-2, 3];1;0;3;5;3
277;14;[[-5], [-4, -1, 3], [-2]];[-2, 4];1;0;3;5;3
278;14;[[-5], [-4, -1, 3], [-2]];[2, 4];0;0;3;5;3
279;14;[[-5], [-4, -1, 3], [-2]];[1, 4];0;0;3;5;3
280;14;[[-5], [-4, -1, 3], [-2]];[4, -3, -1];0;1;3;5;3
281;15;[[-2], [-5], [3, 1]];[-5, 3, -4];1;0;3;5;3
282;15;[[-2], [-5], [3, 1]];[-4, -1];0;0;3;5;3
283;15;[[-2], [-5], [3, 1]];[-4, -2];1;0;3;5;3
284;15;[[-2], [-5], [3, 1]];[-1, -4, -5];1;0;3;5;3
285;15;[[-2], [-5], [3, 1]];[-1, 3, 4];1;0;3;5;3
286;15;[[-2], [-5], [3, 1]];[4, -3, 2];0;1;3;5;3
287;15;[[-2], [-5], [3, 1]];[-3, 4];0;1;3;5;3
288;15;[[-2], [-5], [3, 1]];[4, -1];0;1;3;5;3
289;15;[[-2], [-5], [3, 1]];[3, -2];1;0;3;5;3
290;15;[[-2], [-5], [3, 1]];[-3, 1];0;1;3;5;3
291;15;[[-2], [-5], [3, 1]];[-5, -4];1;0;3;5;3
292;15;[[-2], [-5], [3, 1]];[4, -3];0;1;3;5;3
293;15;[[-2], [-5], [3, 1]];[1, -5];1;0;3;5;3
294;15;[[-2], [-5], [3, 1]];[1, 3, -5];1;0;3;5;3
295;15;[[-2], [-5], [3, 1]];[1, -4];0;1;3;5;3
296;15;[[-2], [-5], [3, 1]];[2, -5, -4];1;0;3;5;3
297;15;[[-2], [-5], [3, 1]];[-4, -5, 2];1;0;3;5;3
298;15;[[-2], [-5], [3, 1]];[4, -3, 1];0;1;3;5;3
299;15;[[-2], [-5], [3, 1]];[2, -1];0;0;3;5;3
300;15;[[-2], [-5], [3, 1]];[-5, -2, 4];1;0;3;5;3
301;16;[[-2, -1], [3], [-4, 3, -1]];[-4, -5];0;0;3;5;3
302;16;[[-2, -1], [3], [-4, 3, -1]];[4, 1, 2];0;1;3;5;3
303;16;[[-2, -1], [3], [-4, 3, -1]];[3, 4, 1];1;0;3;5;3
304;16;[[-2, -1], [3], [-4, 3, -1]];[2, -4];0;0;3;5;3
305;16;[[-2, -1], [3], [-4, 3, -1]];[-2, -3];1;0;3;5;3
306;16;[[-2, -1], [3], [-4, 3, -1]];[2, 3, 4];1;0;3;5;3
307;16;[[-2, -1], [3], [-4, 3, -1]];[-2, 3];1;0;3;5;3
308;16;[[-2, -1], [3], [-4, 3, -1]];[-5, -1];0;0;3;5;3
309;16;[[-2, -1], [3], [-4, 3, -1]];[3, -4, -1];1;0;3;5;3
310;16;[[-2, -1], [3], [-4, 3, -1]];[2, -3, 4];0;1;3;5;3
311;16;[[-2, -1], [3], [-4, 3, -1]];[2, -5];0;0;3;5;3
312;16;[[-2, -1], [3], [-4, 3, -1]];[4, 2];0;1;3;5;3
313;16;[[-2, -1], [3], [-4, 3, -1]];[-1, -3, -5];0;0;3;5;3
314;16;[[-2, -1], [3], [-4, 3, -1]];[1, 4];0;1;3;5;3
315;16;[[-2, -1], [3], [-4, 3, -1]];[2, -4, 3];1;0;3;5;3
316;16;[[-2, -1], [3], [-4, 3, -1]];[-4, -2, 3];1;0;3;5;3
317;16;[[-2, -1], [3], [-4, 3, -1]];[-4, -3, 2];0;0;3;5;3
318;16;[[-2, -1], [3], [-4, 3, -1]];[-3, 4];0;1;3;5;3
319;16;[[-2, -1], [3], [-4, 3, -1]];[4, -2, -1];1;0;3;5;3
320;16;[[-2, -1], [3], [-4, 3, -1]];[-1, -2];1;0;3;5;3
321;17;[[3], [-2, 3], [3, 2, 4]];[-4, -2];0;0;3;5;3
322;17;[[3], [-2, 3], [3, 2, 4]];[4, -5];0;1;3;5;3
323;17;[[3], [-2, 3], [3, 2, 4]];[4, 1, 3];1;0;3;5;3
324;17;[[3], [-2, 3], [3, 2, 4]];[-5, 2, 3];1;0;3;5;3
325;17;[[3], [-2, 3], [3, 2, 4]];[1, -5];0;0;3;5;3
326;17;[[3], [-2, 3], [3, 2, 4]];[-1, -4, -3];0;1;3;5;3
327;17;[[3], [-2, 3], [3, 2, 4]];[-2, 1];0;0;3;5;3
328;17;[[3], [-2, 3], [3, 2, 4]];[-5, -1];0;1;3;5;3
329;17;[[3], [-2, 3], [3, 2, 4]];[2, -4, 1];0;1;3;5;3
330;17;[[3], [-2, 3], [3, 2, 4]];[-1, -4];0;1;3;5;3
331;17;[[3], [-2, 3], [3, 2, 4]];[2, 4, 1];0;1;3;5;3
332;17;[[3], [-2, 3], [3, 2, 4]];[-1, 2, 4];0;1;3;5;3
333;17;[[3], [-2, 3], [3, 2, 4]];[-2, -4];0;0;3;5;3
334;17;[[3], [-2, 3], [3, 2, 4]];[2, -5];0;1;3;5;3
335;17;[[3], [-2, 3], [3, 2, 4]];[-2, 3, 4];1;0;3;5;3
336;17;[[3], [-2, 3], [3, 2, 4]];[1, -4, -2];0;0;3;5;3
337;17;[[3], [-2, 3], [3, 2, 4]];[-1, -5];0;1;3;5;3
338;17;[[3], [-2, 3], [3, 2, 4]];[-5, -1, 2];0;1;3;5;3
339;17;[[3], [-2, 3], [3, 2, 4]];[4, 1, -2];0;1;3;5;3
340;17;[[3], [-2, 3], [3, 2, 4]];[-1, -5, 3];1;0;3;5;3
341;18;[[-2, 4, -5], [3, 2, 1], [-1, 3]];[4, 3, -5];1;0;3;5;3
342;18;[[-2, 4, -5], [3, 2, 1], [-1, 3]];[4, -2, 3];1;0;3;5;3
343;18;[[-2, 4, -5], [3, 2, 1], [-1, 3]];[-4, -2, -5];0;1;3;5;3
344;18;[[-2, 4, -5], [3, 2, 1], [-1, 3]];[3, -4];0;1;3;5;3
345;18;[[-2, 4, -5], [3, 2, 1], [-1, 3]];[-5, -3];0;1;3;5;3
346;18;[[-2, 4, -5], [3, 2, 1], [-1, 3]];[1, -3];0;1;3;5;3
